Year,Base_Coeff,Base_Mean_Income,Base_Abs_Income_Gain,Base_PC_Income_Gain,M1_Coeff,M1_Mean_Income,M1_Abs_Income_Gain,M1_PC_Income_Gain,M2_Coeff,M2_Mean_Income,M2_Abs_Income_Gain,M2_PC_Income_Gain,M3_Coeff,M3_Mean_Income,M3_Abs_Income_Gain,M3_PC_Income_Gain,M4_Coeff,M4_Mean_Income,M4_Abs_Income_Gain,M4_PC_Income_Gain,M5_Coeff,M5_Mean_Income,M5_Abs_Income_Gain,M5_PC_Income_Gain,M6_Coeff,M6_Mean_Income,M6_Abs_Income_Gain,M6_PC_Income_Gain
1950,-0.03346159318480187,760.8014984581212,105.90465102393932,0.13920142276082664,-0.03303119399130351,760.8014984581212,104.4529778514135,0.13729333875275376,-0.017097235034259303,760.8014984581212,52.3874201430159,0.06885819789943487,-0.05255435862876435,703.9169123736489,142.0006883392066,0.20172933174793597,-0.03154835032186975,760.8014984581212,99.47015794893036,0.130743903831054,-0.041236578492804835,760.8014984581212,132.55195369124067,0.17422672531518033,-0.03743459582364891,703.9169123736489,98.44051340324393,0.13984677974463885
1951,-0.03213175887675603,783.5499793386367,104.45990146459826,0.13331619452376056,-0.031402669359757975,783.5499793386367,101.94180911904368,0.13010249736090695,-0.014878105219577635,783.5499793386367,46.74635857325404,0.059659702387728705,-0.052229704641301854,727.1036054331913,145.6867828740484,0.2003659200496628,-0.029733422782073384,783.5499793386367,96.20350566046864,0.12277902903101366,-0.03863928442665027,783.5499793386367,127.25484664633711,0.16240807861898976,-0.036564123086738474,727.1036054331913,99.16435811540532,0.13638270718837314
1952,-0.032265138044765766,795.0894899504507,106.46653313424144,0.13390509430690167,-0.03146815057574466,795.0894899504507,103.67231815473099,0.13039075407875378,-0.014466036537027617,795.0894899504507,46.083685014239904,0.057960375022831453,-0.05129936554640353,737.0692611490891,144.81011408024744,0.19646744439523747,-0.029336901358890593,795.0894899504507,96.2426902052656,0.12104636197777356,-0.038627495841878474,795.0894899504507,129.08652221265697,0.16235470829918974,-0.03570723349173501,737.0692611490891,98.01766072662815,0.1329829717411073
1953,-0.031621431988565894,808.1145348207042,105.91618290098234,0.1310658060673069,-0.03083515664463464,808.1145348207042,103.12132257996723,0.12760731076671783,-0.013769226445766747,808.1145348207042,44.521456072140495,0.05509300248140994,-0.051061416471442134,751.210169060066,146.84084108011336,0.1954723819351973,-0.029378386454424588,808.1145348207042,97.96571509028752,0.12122751277085135,-0.038394891787947735,808.1145348207042,130.35060687383236,0.16130214376450136,-0.03620374013269323,751.210169060066,101.37704102403063,0.13495163563996512
1954,-0.030181813087652627,830.118921786156,103.55033962684502,0.12474157245330236,-0.02914297640577154,830.118921786156,99.7802513545929,0.12019994814706433,-0.011972592229815233,830.118921786156,39.626270424351674,0.047735654957832246,-0.0526439774498696,774.0156838187863,156.43318762127126,0.2021059661859457,-0.02783238606415531,830.118921786156,95.04563989770543,0.11449641419231472,-0.03644527852870351,830.118921786156,126.60747494349823,0.15251727387574612,-0.03840733952977074,774.0156838187863,111.24953561502446,0.14373033769309299
1955,-0.02954764616431506,839.1259642178627,102.34560404818944,0.12196691368450781,-0.027954910279241366,839.1259642178627,96.52331055854734,0.11502839224920818,-0.01034507555916574,839.1259642178627,34.50079259794927,0.04111515322983358,-0.05425632896782689,783.759465807572,163.72913875102392,0.2089022791990401,-0.0285307905367013,839.1259642178627,98.62429049032323,0.11753216405626242,-0.03676465764580646,839.1259642178627,129.1849668276103,0.15395181693373267,-0.03914110590958281,783.759465807572,114.95287298932419,0.14666856096070083
1956,-0.029841857248736305,860.5391335008463,106.06430329720126,0.12325331779591514,-0.027833233061178464,860.5391335008463,98.53180894807952,0.11450009082937611,-0.010719413173821158,860.5391335008463,36.68838913169611,0.042634190245875704,-0.05509494612264785,801.6572613813057,170.31397506934945,0.21245235747741847,-0.0273793960515359,860.5391335008463,96.83803148769448,0.11253181606481728,-0.03577871100307586,860.5391335008463,128.6755735502328,0.14952902028610213,-0.0410923958891299,801.6572613813057,123.8711954665107,0.15451889658315185
1957,-0.0285671517178399,872.0434497193156,102.6311783580328,0.11769044121719699,-0.026368669233584406,872.0434497193156,94.32092798875249,0.10816081242180253,-0.00886115106913603,872.0434497193156,30.622007133458283,0.03511523094785538,-0.056488658101098065,814.1604626572746,177.79259005039376,0.21837536727110335,-0.02567294773979393,872.0434497193156,91.70589277033253,0.10516206824310173,-0.03367186163979228,872.0434497193156,122.20360587147604,0.14013476726510551,-0.04263657372158091,814.1604626572746,130.89211769060068,0.16076943513492678
1958,-0.029552697137924754,881.1274094797635,107.48783926451881,0.1219889860513838,-0.027781194414743287,881.1274094797635,100.69015136750738,0.11427422445859108,-0.010026351889939287,881.1274094797635,35.0896111941712,0.03982353836307153,-0.05805023363575669,819.1974814542489,184.35723439743742,0.2250461440264249,-0.027334261573684186,881.1274094797635,98.98255741300295,0.11233625960114482,-0.03546262822883088,881.1274094797635,130.50793574280647,0.1481147156911861,-0.04464632872486787,819.1974814542489,138.4077169986832,0.16895525209987247
1959,-0.02830853192435989,903.8564421430768,105.35818718390362,0.11656517813171248,-0.025960303571479892,903.8564421430768,96.17002101109858,0.10639966318442776,-0.008082048113497371,903.8564421430768,28.904384451391138,0.031978954957556954,-0.056869306921135294,841.6634916499823,185.1643493301059,0.2199980766269343,-0.023354650159402048,903.8564421430768,86.07247713734603,0.09522803967991313,-0.03202219053307241,903.8564421430768,120.06164990895593,0.13283265384963716,-0.04410915033179162,841.6634916499823,140.3572059703688,0.1667616658710181
